Name,ScaleMin,ScaleMax,Unit,DefaultON
温度(BME280)[℃],0,30,℃,1
湿度(BME280)[%],0,100,％,1
気圧(BME280)[hPa],1000,1050,hPa,1
赤色(S9706)[0～4095],0,4095,-,1
緑色(S9706)[0～4095],0,4095,-,1
青色(S9706)[0～4095],0,4095,-,1
光量積算時間(S9706)[us],0,1000,us,0
