Name,ScaleMin,ScaleMax,Unit,DefaultON
温度(DHT22)[℃],18,32,℃,1
温度(DHT22)[F],0,200,F,0
湿度(DHT22)[%],0,100,%,1
温度(SCP-1000),18,32,-,0
気圧(SCP-1000)[hPa],100000,105000,-,0
