Name,ScaleMin,ScaleMax,Unit,DefaultON
温度(DHT22)[℃],0,30,℃,1
温度(DHT22)[?],0,200,F,1
湿度(DHT22)[%],0,100,%,1
温度(SCP-1000),0,30,-,1
気圧(SCP-1000)[hPa],100000,105000,-,1
